"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3081300,"83787f7a-b659-44b6-a8aa-d1ef5b958a65",5,"2021-09-23 08:30:00","2021-09-23 15:00:00",NULL,NULL,False
3081301,"83787f7a-b659-44b6-a8aa-d1ef5b958a65",4,"2021-09-23 08:30:00","2021-09-23 15:00:00",NULL,NULL,False
3081302,"83787f7a-b659-44b6-a8aa-d1ef5b958a65",3,"2021-09-23 08:30:00","2021-09-23 15:00:00",NULL,NULL,False
3081303,"83787f7a-b659-44b6-a8aa-d1ef5b958a65",2,"2021-09-23 08:30:00","2021-09-23 15:00:00",NULL,NULL,False
3075130,"96ace005-6e9e-43e2-a04f-098f7b779919",3,"2021-09-23 11:30:00","2021-09-23 14:00:00",NULL,NULL,False
3081304,"83787f7a-b659-44b6-a8aa-d1ef5b958a65",1,"2021-09-23 08:30:00","2021-09-23 15:00:00",NULL,NULL,False
3193668,"374db163-6f3c-467b-a123-4a6e2b5f8dfb",5,"2021-10-14 11:00:00","2021-10-14 23:00:00",NULL,NULL,False
3082394,"98162706-c6a7-443b-95d8-1f5dc5cc991f",5,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3082395,"98162706-c6a7-443b-95d8-1f5dc5cc991f",4,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3082396,"98162706-c6a7-443b-95d8-1f5dc5cc991f",3,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3074138,"a1bf58c7-937f-4dd7-bd63-146add6822e1",5,"2021-09-23 10:45:00","2021-09-23 13:30:00",NULL,NULL,False
3074139,"a1bf58c7-937f-4dd7-bd63-146add6822e1",4,"2021-09-23 10:45:00","2021-09-23 13:30:00",NULL,NULL,False
3074140,"a1bf58c7-937f-4dd7-bd63-146add6822e1",3,"2021-09-23 10:45:00","2021-09-23 13:30:00",NULL,NULL,False
3074141,"a1bf58c7-937f-4dd7-bd63-146add6822e1",2,"2021-09-23 10:45:00","2021-09-23 13:30:00",NULL,NULL,False
3074142,"a1bf58c7-937f-4dd7-bd63-146add6822e1",1,"2021-09-23 10:45:00","2021-09-23 13:30:00",NULL,NULL,False
3074143,"6b2f328c-297c-4355-b7b6-557dc5c8e3f6",0,"2021-09-23 12:00:00","2021-09-23 22:00:00",NULL,NULL,False
3082397,"98162706-c6a7-443b-95d8-1f5dc5cc991f",2,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3193669,"374db163-6f3c-467b-a123-4a6e2b5f8dfb",4,"2021-10-14 11:00:00","2021-10-14 23:00:00",NULL,NULL,False
